"entityKey","metricKey","value","fiscalYear","fiscalPeriod","periodClass","periodEnd"
"entity:company:palantir","revenue","1905871000","2022","FY","annual","2022-12-31"
"entity:company:palantir","revenue","2225012000","2023","FY","annual","2023-12-31"
"entity:company:palantir","revenue","2865507000","2024","FY","annual","2024-12-31"
"entity:company:palantir","revenue","4475446000","2025","FY","annual","2025-12-31"
"entity:company:salesforce","capital_expenditure","710000000","2021","FY","annual","2021-01-31"
"entity:company:salesforce","capital_expenditure","717000000","2022","FY","annual","2022-01-31"
"entity:company:salesforce","capital_expenditure","798000000","2023","FY","annual","2023-01-31"
"entity:company:salesforce","capital_expenditure","736000000","2024","FY","annual","2024-01-31"
"entity:company:salesforce","capital_expenditure","594000000","2025","FY","annual","2026-01-31"
"entity:company:salesforce","research_and_development","3598000000","2021","FY","annual","2021-01-31"
"entity:company:salesforce","research_and_development","4465000000","2022","FY","annual","2022-01-31"
"entity:company:salesforce","research_and_development","5055000000","2023","FY","annual","2023-01-31"
"entity:company:salesforce","research_and_development","4906000000","2024","FY","annual","2024-01-31"
"entity:company:salesforce","research_and_development","5993000000","2025","FY","annual","2026-01-31"
"entity:company:salesforce","revenue","21252000000","2021","FY","annual","2021-01-31"
"entity:company:salesforce","revenue","26492000000","2022","FY","annual","2022-01-31"
"entity:company:salesforce","revenue","31352000000","2023","FY","annual","2023-01-31"
"entity:company:salesforce","revenue","34857000000","2024","FY","annual","2024-01-31"
"entity:company:salesforce","revenue","41525000000","2025","FY","annual","2026-01-31"
"entity:company:servicenow","capital_expenditure","392000000","2021","FY","annual","2021-12-31"
"entity:company:servicenow","capital_expenditure","550000000","2022","FY","annual","2022-12-31"
"entity:company:servicenow","capital_expenditure","694000000","2023","FY","annual","2023-12-31"
"entity:company:servicenow","capital_expenditure","852000000","2024","FY","annual","2024-12-31"
"entity:company:servicenow","capital_expenditure","868000000","2025","FY","annual","2025-12-31"
"entity:company:servicenow","research_and_development","1397000000","2021","FY","annual","2021-12-31"
"entity:company:servicenow","research_and_development","1768000000","2022","FY","annual","2022-12-31"
"entity:company:servicenow","research_and_development","2124000000","2023","FY","annual","2023-12-31"
"entity:company:servicenow","research_and_development","2543000000","2024","FY","annual","2024-12-31"
"entity:company:servicenow","research_and_development","2960000000","2025","FY","annual","2025-12-31"
"entity:company:servicenow","revenue","5896000000","2021","FY","annual","2021-12-31"
"entity:company:servicenow","revenue","7245000000","2022","FY","annual","2022-12-31"
"entity:company:servicenow","revenue","8971000000","2023","FY","annual","2023-12-31"
"entity:company:servicenow","revenue","10984000000","2024","FY","annual","2024-12-31"
"entity:company:servicenow","revenue","13278000000","2025","FY","annual","2025-12-31"
"entity:company:snowflake","capital_expenditure","16221000","2022","FY","annual","2022-01-31"
"entity:company:snowflake","capital_expenditure","25128000","2023","FY","annual","2023-01-31"
"entity:company:snowflake","capital_expenditure","35086000","2024","FY","annual","2024-01-31"
"entity:company:snowflake","capital_expenditure","46279000","2025","FY","annual","2025-01-31"
"entity:company:snowflake","capital_expenditure","101628000","2026","FY","annual","2026-01-31"
"entity:company:snowflake","research_and_development","466932000","2022","FY","annual","2022-01-31"
"entity:company:snowflake","research_and_development","788058000","2023","FY","annual","2023-01-31"
"entity:company:snowflake","research_and_development","1287949000","2024","FY","annual","2024-01-31"
"entity:company:snowflake","research_and_development","1783379000","2025","FY","annual","2025-01-31"
"entity:company:snowflake","research_and_development","1969472000","2026","FY","annual","2026-01-31"
"entity:company:snowflake","revenue","1219327000","2022","FY","annual","2022-01-31"
"entity:company:snowflake","revenue","2065659000","2023","FY","annual","2023-01-31"
"entity:company:snowflake","revenue","2806489000","2024","FY","annual","2024-01-31"
"entity:company:snowflake","revenue","3626396000","2025","FY","annual","2025-01-31"
"entity:company:snowflake","revenue","4683946000","2026","FY","annual","2026-01-31"
